dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
5597,1,Водитель,Мужской,41.0,Несоблюдение бокового интервала,1,Не пострадал,RENAULT,2011,"D-класс (средний) до 4,6 м"
5597,,Пешеход,Мужской,,Нет нарушений,0,Погиб,,,
5664,1,Водитель,Мужской,28.0,Нет нарушений,0,Ранен,FORD,2001,Фургоны
5664,2,Водитель,Мужской,8.0,Другие нарушения ПДД водителем,1,Не пострадал,ВАЗ,2006,"D-класс (средний) до 4,6 м"
5807,1,Пассажир,Мужской,,Нет нарушений,0,Погиб,OPEL,2004,"С-класс (малый средний, компактный) до 4,3 м"
5807,1,Водитель,Мужской,5.0,Несоблюдение очередности проезда,1,Погиб,OPEL,2004,"С-класс (малый средний, компактный) до 4,3 м"
5807,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2004,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Женский,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Водитель,Мужской,5.0,Нет нарушений,0,Погиб,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5807,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,OPEL,2008,"С-класс (малый средний, компактный) до 4,3 м"
5943,1,Водитель,Мужской,14.0,Другие нарушения ПДД водителем,1,Ранен,ВАЗ,2007,"В-класс (малый) до 3,9 м"
6002,1,Водитель,Женский,6.0,Нет нарушений,0,Не пострадал,ВАЗ,2002,"В-класс (малый) до 3,9 м"
6002,,Пешеход,Мужской,,Иные нарушения,1,Ранен,,,
6024,1,Водитель,Мужской,34.0,Нет нарушений,0,Не пострадал,КАМАЗ,1988,Бортовые
6024,2,Пассажир,Женский,,Нет нарушений,0,Ранен,MERCEDES,2008,Одноэтажные длиной от 5 до 8 м
6024,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,MERCEDES,2008,Одноэтажные длиной от 5 до 8 м
6024,2,Водитель,Мужской,7.0,Другие нарушения ПДД водителем,1,Не пострадал,MERCEDES,2008,Одноэтажные длиной от 5 до 8 м
6024,2,Пассажир,Женский,,Нет нарушений,0,Ранен,MERCEDES,2008,Одноэтажные длиной от 5 до 8 м
6024,2,Пассажир,Женский,,Нет нарушений,0,Ранен,MERCEDES,2008,Одноэтажные длиной от 5 до 8 м
6343,1,Водитель,Мужской,44.0,Нет нарушений,0,Не пострадал,ГАЗ,2014,Минивэны и универсалы повышенной вместимости
6343,,Пешеход,Женский,,Нахождение на проезжей части без цели её перехода,1,Погиб,,,
6366,1,Водитель,Мужской,36.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,RENAULT,2013,"D-класс (средний) до 4,6 м"
6366,,Пешеход,Мужской,,Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара,1,Ранен,,,
6410,1,Водитель,Мужской,5.0,Нет нарушений,0,Не пострадал,ВАЗ,2008,"А-класс (особо малый) до 3,5 м"
6410,,Пешеход,Женский,,Неподчинение сигналам регулирования,1,Ранен,,,
6410,,Пешеход,Женский,,Неподчинение сигналам регулирования,1,Ранен,,,
6507,1,Водитель,Мужской,3.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,ВАЗ,2002,"В-класс (малый) до 3,9 м"
6507,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
6592,1,Водитель,Мужской,9.0,Нет нарушений,0,Не пострадал,FORD,2013,Минивэны и универсалы повышенной вместимости
6592,2,Водитель,Мужской,23.0,Несоблюдение очередности проезда,1,Ранен,RENAULT,2013,"D-класс (средний) до 4,6 м"
6671,1,Водитель,Мужской,12.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,ВАЗ,2007,"D-класс (средний) до 4,6 м"
6671,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
7240,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,VOLKSWAGEN,2002,Минивэны и универсалы повышенной вместимости
7240,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,VOLKSWAGEN,2002,Минивэны и универсалы повышенной вместимости
7240,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2002,Минивэны и универсалы повышенной вместимости
7240,1,Пассажир,Мужской,,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2002,Минивэны и универсалы повышенной вместимости
7240,1,Водитель,Мужской,28.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,VOLKSWAGEN,2002,Минивэны и универсалы повышенной вместимости
7319,1,Водитель,Мужской,0.0,Несоответствие скорости конкретным условиям движения,1,Ранен,Прочие марки ТС,2012,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.
7323,1,Водитель,Мужской,1.0,Другие нарушения ПДД водителем,1,Ранен,ВАЗ,1991,"В-класс (малый) до 3,9 м"
7376,1,Водитель,Мужской,3.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ГАЗ,2008,Фургоны
7376,2,Водитель,Женский,5.0,Нет нарушений,0,Ранен,OPEL,2011,"В-класс (малый) до 3,9 м"
7493,1,Водитель,Мужской,95.0,Другие нарушения ПДД водителем,1,Не пострадал,TOYOTA,2008,"Е-класс (высший средний, бизнес-класс) до 4,9 м"
7493,,Пешеход,Женский,,Иные нарушения,1,Ранен,,,
7735,1,Водитель,Мужской,5.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,1998,"С-класс (малый средний, компактный) до 4,3 м"
7735,,Пешеход,Женский,,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1,Ранен,,,
7765,1,Водитель,Женский,6.0,Несоблюдение очередности проезда,1,Не пострадал,FORD,2010,"С-класс (малый средний, компактный) до 4,3 м"
7765,2,Пассажир,Женский,,Нет нарушений,0,Ранен,SKODA,2013,"D-класс (средний) до 4,6 м"
7765,2,Водитель,Мужской,18.0,Нет нарушений,0,Не пострадал,SKODA,2013,"D-класс (средний) до 4,6 м"
7846,1,Водитель,Мужской,0.0,Другие нарушения ПДД водителем,1,Не пострадал,ГАЗ,2002,"В-класс (малый) до 3,9 м"
7846,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
8061,1,Водитель,Мужской,34.0,Другие нарушения ПДД водителем,1,Не пострадал,RENAULT,2014,"С-класс (малый средний, компактный) до 4,3 м"
8061,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
8127,1,Водитель,Женский,15.0,Нет нарушений,0,Не пострадал,ВАЗ,2003,"В-класс (малый) до 3,9 м"
8127,,Пешеход,Мужской,,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1,Ранен,,,
