id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
472973,2017-10-22 17:20:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Отсутствие тротуаров (пешеходных дорожек),2,3,2,0,1,53.2742,34.4306
473058,2017-10-22 19:35:00,Брянская область,Наезд на стоящее ТС,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,5,4,0,2,53.2842,34.3114
473290,2017-10-23 11:00:00,Сельцо,Столкновение,Легкий,Светлое время суток,Ясно,,0,2,2,0,1,0.0,0.0
473729,2017-10-24 09:55:00,Брянский район,Опрокидывание,Тяжёлый,Светлое время суток,Ясно,,0,1,1,0,1,53.27,34.14
473894,2017-10-24 16:55:00,Брянская область,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,2,2,0,1,53.28,34.3811
473982,2017-10-24 19:15:00,Брянская область,Наезд на стоящее ТС,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,5,4,0,2,53.2442,34.3667
474212,2017-10-25 11:05:00,Брянская область,Наезд на стоящее ТС,Легкий,Светлое время суток,Ясно,,0,4,2,0,1,53.2494,34.3714
474446,2017-10-25 19:40:00,Почепский район,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Ясно,,0,2,1,0,1,52.930237,33.459208
474474,2017-10-25 20:35:00,Погарский район,Наезд на препятствие,С погибшими,"В темное время суток, освещение включено",Ясно,,0,2,1,2,0,52.4075,33.1036
474475,2017-10-25 20:35:00,Брянская область,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,Отсутствие пешеходных ограждений в необходимых местах,1,3,2,0,1,54.3131,34.2869
474563,2017-10-26 06:30:00,Брянская область,Столкновение,Легкий,Сумерки,Снегопад,,0,3,2,0,1,53.2383,34.3278
474575,2017-10-26 07:15:00,Брянская область,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,3,3,0,1,53.171,34.2132
474599,2017-10-26 08:00:00,Выгоничский район,Столкновение,Легкий,Светлое время суток,Снегопад,,0,4,3,0,2,53.3575,33.2892
474625,2017-10-26 09:00:00,Выгоничский район,Наезд на пешехода,Легкий,Светлое время суток,Снегопад,,0,2,1,0,1,53.2892,33.3225
474645,2017-10-26 09:46:00,Жуковский район,Опрокидывание,Тяжёлый,Светлое время суток,Снегопад,,0,1,1,0,1,50.2922,33.4758
474879,2017-10-26 18:35:00,Брянская область,Столкновение,Легкий,Сумерки,Пасмурно,,0,3,2,0,1,53.1601,34.2119
